block,unet_dice,unet_iou,unet_precision,unet_recall,unet_tolerant_dice_3px,unet_runtime_seconds,hybrid_dice,hybrid_iou,hybrid_precision,hybrid_recall,hybrid_tolerant_dice_3px,hybrid_runtime_seconds,swin_f3chain_dice,swin_f3chain_iou,swin_f3chain_precision,swin_f3chain_recall,swin_f3chain_tolerant_dice_3px,swin_f3chain_runtime_seconds,dice_difference,tolerant_dice_3px_difference
test2,0.11179224387388624,0.059205478587399475,0.06494533223371837,0.4011612163621448,0.17086790672057944,35.75470220000716,0.13713251907593055,0.07361367380137335,0.07936535166288798,0.5039113693530427,0.20707613740551092,269.3849491000001,0.2883885133623499,0.1684894706618676,0.2192302944321074,0.42128756121907607,0.44299978717711125,133.43091550000827,0.025340275202044307,0.03620823068493148
test3,0.11007809805346293,0.058244786697316586,0.06400862501213059,0.3927692742567877,0.16740265968304255,37.38820069999201,0.1411637955892185,0.07594203042433474,0.08240478940677015,0.4919512598518937,0.2111688595138732,270.68264929999714,0.2870640064542719,0.16758595040090066,0.2163269304991004,0.42653848077229317,0.4366759161700222,135.16284810000798,0.03108569753575556,0.04376619983083066
test4,0.13332317853420989,0.07142274281282344,0.07771187241286133,0.4688021882908259,0.2043250061887508,36.97703320000437,0.15910839089013537,0.08643007013708419,0.0929895876799692,0.550613759785239,0.23834092916005253,270.5753951999941,0.2741964946595961,0.15888048309735736,0.20694017842207088,0.4062192342061479,0.4230668159043315,134.78000299999258,0.025785212355925485,0.03401592297130174
test5,0.13259460161164174,0.07100472223443069,0.07660473682780894,0.4927207183037585,0.2043129666619273,37.56090639997274,0.14383878318029833,0.07749261318300141,0.08291937676157925,0.5421381060781768,0.21796030003604291,270.6712579000159,0.2615087056597715,0.15042278699417716,0.2041288434673089,0.36376041032260303,0.4134851451576016,134.2080042999878,0.011244181568656586,0.013647333374115611
test6,0.13741443357586886,0.07377617224838845,0.07991874339865752,0.48976331402175793,0.2164465008368248,36.923754399991594,0.14750986728299112,0.07962788285767626,0.08375097846939968,0.6179491954835549,0.2272144835760849,271.45392119997996,0.27125437852719364,0.15690820856344279,0.21441512147065522,0.36909866074734227,0.43538098066131753,134.00703469998552,0.010095433707122264,0.010767982739260107
test7,0.12439449799376244,0.06632231450627764,0.07157188448860095,0.47485305691570007,0.19724919123976167,37.97106939999503,0.15204287342090603,0.08227619095382648,0.08693173189846311,0.6057283548030582,0.24098388674995191,270.4176334000076,0.26185664469176295,0.1506530769697797,0.20330650488399396,0.3677707656233207,0.41874438832113486,134.54604900002596,0.027648375427143587,0.04373469551019024
