model,threshold,precision,recall,dice,iou,tolerant_precision_3px,tolerant_recall_3px,tolerant_dice_3px,histogram_auprc_400_bins,brier,ece_15_bins,mean_symmetric_distance_pixels,p95_symmetric_distance_pixels,runtime_seconds
dip_steered_coherence,0.019999999552965164,0.21898442870378673,0.17819446471131864,0.19649489789077063,0.10895167286245352,0.640035875333217,0.4029743664575125,0.49456475313160253,0.19861779143797542,0.15438093044048137,0.14761346694443275,12.485056893056951,43.382023926967726,25.80136310000671
hybrid_dsa,0.15,0.217784574763576,0.40521182936913275,0.28330463984356735,0.16502907063123384,0.6154607011825811,0.5554907015581173,0.5839400266845592,0.21243928615227564,0.16298497438792361,0.14131185451643843,9.574256533136097,31.0,43.44856679998338
swinunetr_f3chain,0.4,0.3010604124209872,0.14131686041798402,0.1923467361080461,0.1064068756714523,0.7347511484129451,0.3623230701882387,0.48532230072228083,0.23315746345619365,0.14267856556540093,0.08852261791000955,15.787026510740843,49.01020301937138,20.45575349999126
unet,0.5,0.23311912471376198,0.24717479773659548,0.23994129347165305,0.13632573310291946,0.6027450170559712,0.4469210564716183,0.5132669266910013,0.21077043536688334,0.17649214581234102,0.1607720205356382,13.366793740671879,50.774009099144415,7.178235900006257
