model,inline_local_index,valid_voxels,truth_voxels,predicted_voxels,tp,fp,fn,precision,recall,dice,iou,tolerant_precision_3px,tolerant_recall_3px,tolerant_dice_3px
dip_steered_coherence,32,6647,955,1238,298,940,657,0.2407108239095315,0.31204188481675393,0.2717738258093935,0.15725593667546175,0.5605815831987075,0.5842931937172775,0.5721918417463693
dip_steered_coherence,33,8713,1378,345,79,266,1299,0.2289855072463768,0.057329462989840346,0.09170052234474753,0.04805352798053528,0.5710144927536231,0.1509433962264151,0.23876979016741157
dip_steered_coherence,34,1469,182,170,42,128,140,0.24705882352941178,0.23076923076923078,0.23863636363636365,0.13548387096774195,0.7058823529411765,0.5659340659340659,0.6282083862770014
dip_steered_coherence,35,6286,1021,362,74,288,947,0.20441988950276244,0.07247796278158668,0.10701373825018076,0.05653170359052712,0.5607734806629834,0.2820763956904995,0.37534789210288944
dip_steered_coherence,36,2595,297,501,93,408,204,0.18562874251497005,0.31313131313131315,0.23308270676691728,0.13191489361702127,0.5588822355289421,0.7878787878787878,0.6539117937662804
dip_steered_coherence,37,9156,1430,625,131,494,1299,0.2096,0.09160839160839161,0.12749391727493917,0.06808731808731809,0.5712,0.25384615384615383,0.3514880286417543
dip_steered_coherence,38,2261,239,563,104,459,135,0.1847246891651865,0.4351464435146444,0.2593516209476309,0.1489971346704871,0.5435168738898757,0.8619246861924686,0.666652565675367
dip_steered_coherence,39,8299,1254,966,202,764,1052,0.20910973084886128,0.16108452950558214,0.18198198198198198,0.10009910802775025,0.5838509316770186,0.37719298245614036,0.45830262486535517
dip_steered_coherence,40,7142,1168,1574,380,1194,788,0.241423125794155,0.3253424657534247,0.27716994894237784,0.16088060965283657,0.7039390088945362,0.7662671232876712,0.7337818929036277
dip_steered_coherence,41,11915,1937,984,226,758,1711,0.22967479674796748,0.11667527103768714,0.1547415268743581,0.08385899814471243,0.5995934959349594,0.30252968508002065,0.4021509153487095
dip_steered_coherence,42,4439,703,559,98,461,605,0.17531305903398928,0.13940256045519203,0.15530903328050713,0.08419243986254296,0.5474060822898033,0.5874822190611664,0.5667365494355191
dip_steered_coherence,43,9869,1608,795,215,580,1393,0.27044025157232704,0.13370646766169153,0.17894298793175198,0.09826325411334552,0.630188679245283,0.3756218905472637,0.470690347086767
dip_steered_coherence,44,5856,964,401,112,289,852,0.2793017456359102,0.11618257261410789,0.1641025641025641,0.0893854748603352,0.6234413965087282,0.3112033195020747,0.4151674508718517
dip_steered_coherence,45,11208,1839,867,287,580,1552,0.33102652825836215,0.15606307775965197,0.21212121212121213,0.11864406779661017,0.7416378316032295,0.24741707449700925,0.37104889020788073
dip_steered_coherence,46,1983,396,112,39,73,357,0.3482142857142857,0.09848484848484848,0.15354330708661418,0.08315565031982942,0.6339285714285714,0.2878787878787879,0.3959495157029645
dip_steered_coherence,47,7466,1173,806,290,516,883,0.3598014888337469,0.24722932651321397,0.29307731177362306,0.17169923031379514,0.6873449131513648,0.45439045183290705,0.5471022011413326
dip_steered_coherence,48,6845,1018,1593,425,1168,593,0.2667922159447583,0.4174852652259332,0.3255457679050172,0.19441903019213175,0.6528562460765851,0.756385068762279,0.7008178249968275
dip_steered_coherence,49,9160,1342,495,159,336,1183,0.3212121212121212,0.11847988077496274,0.17310832879695154,0.09475566150178784,0.6383838383838384,0.2518628912071535,0.36121491692340985
